estimand,configuration,propensity,truncation_lower,truncation_upper,truncation,result_dir,result_subdir,N,tmax,n_iterations,n_missing,true_parameter,method,bias,rmse,coverage,interval_length
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Manual-NN-NN,22.556095123291016,213.5703887939453,0.9860000014305115,92.9417953491211
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Auto-Lasso,0.008074351586401463,0.09964721649885178,0.9580000042915344,0.3968481421470642
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Auto-RF,0.004622445907443762,0.13453687727451324,0.906000018119812,0.3680188059806824
"E[Y(1,1)]",Linear DGP + truncated logistic,truncated_logistic,0.1,0.9,"[0.1, 0.9]",results/linear,truncated_logistic_0.1_0.9,2000,500,500,0,-2.0,Auto-NN,0.0016850958345457911,0.14784234762191772,0.9620000123977661,0.5640290975570679
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Oracle,-0.012644168920814991,0.3993864357471466,0.9459999799728394,1.4997140169143677
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Manual-Lasso (Bradic Original),-22.025211334228516,443.57391357421875,0.9200000166893005,95.25910949707031
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Manual-Lasso (Bradic),,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Manual-RF (Bradic),,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Manual-NN (Bradic),,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Manual-Lasso,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Manual-RF,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Manual-NN,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Manual-Lasso-Lasso,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Manual-RF-RF,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Manual-NN-NN,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Auto-Lasso,0.525792121887207,0.5935674905776978,0.515999972820282,1.080660104751587
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Auto-RF,0.23375940322875977,1.806182861328125,0.7839999794960022,1.9080896377563477
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,500,500,500,0,6.574518871307373,Auto-NN,0.6171867251396179,0.6877201795578003,0.4020000100135803,1.0821518898010254
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Oracle,-0.011719710193574429,0.27746573090553284,0.9419999718666077,1.0674031972885132
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Manual-Lasso (Bradic Original),-1.1957414150238037,9.099479675292969,0.9259999990463257,10.987886428833008
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Manual-Lasso (Bradic),,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Manual-RF (Bradic),,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Manual-NN (Bradic),,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Manual-Lasso,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Manual-RF,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Manual-NN,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Manual-Lasso-Lasso,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Manual-RF-RF,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Manual-NN-NN,,,0.0,
"E[Y(1,1)]",Nonlinear DGP + truncated adversarial,truncated_adv,0.1,0.9,"[0.1, 0.9]",results/nonlinear,truncated_adv_0.1_0.9,1000,500,500,0,6.574518871307373,Auto-Lasso,0.5228955745697021,0.5578505396842957,0.23399999737739563,0.7621269822120667
